Interface,API,Chrome_62.0.3202.62_OSX_10.13.3,Chrome_63.0.3239.84_OSX_10.13.3
AnalyserNode,fftSize,true,true
AnalyserNode,frequencyBinCount,true,true
AnalyserNode,getByteFrequencyData,true,true
AnalyserNode,getByteTimeDomainData,true,true
AnalyserNode,getFloatFrequencyData,true,true
AnalyserNode,getFloatTimeDomainData,true,true
AnalyserNode,maxDecibels,true,true
AnalyserNode,minDecibels,true,true
AnalyserNode,smoothingTimeConstant,true,true
AnimationEvent,animationName,true,true
AnimationEvent,elapsedTime,true,true
ApplicationCache,abort,true,true
ApplicationCache,oncached,true,true
ApplicationCache,onchecking,true,true
ApplicationCache,ondownloading,true,true
ApplicationCache,onerror,true,true
ApplicationCache,onnoupdate,true,true
ApplicationCache,onobsolete,true,true
ApplicationCache,onprogress,true,true
ApplicationCache,onupdateready,true,true
ApplicationCache,status,true,true
ApplicationCache,swapCache,true,true
ApplicationCache,update,true,true
ApplicationCacheErrorEvent,message,true,true
ApplicationCacheErrorEvent,reason,true,true
ApplicationCacheErrorEvent,status,true,true
ApplicationCacheErrorEvent,url,true,true
Array,concat,true,true
Array,copyWithin,true,true
Array,entries,true,true
Array,every,true,true
Array,fill,true,true
Array,filter,true,true
Array,find,true,true
Array,findIndex,true,true
Array,forEach,true,true
Array,from,true,true
Array,includes,true,true
Array,indexOf,true,true
Array,isArray,true,true
Array,join,true,true
Array,keys,true,true
Array,lastIndexOf,true,true
Array,length,true,true
Array,map,true,true
Array,of,true,true
Array,pop,true,true
Array,push,true,true
Array,reduce,true,true
Array,reduceRight,true,true
Array,reverse,true,true
Array,shift,true,true
Array,slice,true,true
Array,some,true,true
Array,sort,true,true
Array,splice,true,true
Array,unshift,true,true
ArrayBuffer,byteLength,true,true
ArrayBuffer,isView,true,true
ArrayBuffer,slice,true,true
Atomics,add,true,true
Atomics,and,true,true
Atomics,compareExchange,true,true
Atomics,exchange,true,true
Atomics,isLockFree,true,true
Atomics,load,true,true
Atomics,or,true,true
Atomics,store,true,true
Atomics,sub,true,true
Atomics,wait,true,true
Atomics,wake,true,true
Atomics,xor,true,true
Attr,localName,true,true
Attr,name,true,true
Attr,namespaceURI,true,true
Attr,ownerElement,true,true
Attr,prefix,true,true
Attr,specified,true,true
Attr,value,true,true
AudioBuffer,copyFromChannel,true,true
AudioBuffer,copyToChannel,true,true
AudioBuffer,duration,true,true
AudioBuffer,getChannelData,true,true
AudioBuffer,length,true,true
AudioBuffer,numberOfChannels,true,true
AudioBuffer,sampleRate,true,true
AudioBufferSourceNode,buffer,true,true
AudioBufferSourceNode,detune,true,true
AudioBufferSourceNode,loop,true,true
AudioBufferSourceNode,loopEnd,true,true
AudioBufferSourceNode,loopStart,true,true
AudioBufferSourceNode,playbackRate,true,true
AudioContext,baseLatency,true,true
AudioContext,close,true,true
AudioContext,getOutputTimestamp,true,true
AudioContext,suspend,true,true
AudioDestinationNode,maxChannelCount,true,true
AudioListener,forwardX,true,true
AudioListener,forwardY,true,true
AudioListener,forwardZ,true,true
AudioListener,positionX,true,true
AudioListener,positionY,true,true
AudioListener,positionZ,true,true
AudioListener,setOrientation,true,true
AudioListener,setPosition,true,true
AudioListener,upX,true,true
AudioListener,upY,true,true
AudioListener,upZ,true,true
AudioNode,channelCount,true,true
AudioNode,channelCountMode,true,true
AudioNode,channelInterpretation,true,true
AudioNode,connect,true,true
AudioNode,context,true,true
AudioNode,disconnect,true,true
AudioNode,numberOfInputs,true,true
AudioNode,numberOfOutputs,true,true
AudioParam,cancelAndHoldAtTime,true,true
AudioParam,cancelScheduledValues,true,true
AudioParam,defaultValue,true,true
AudioParam,exponentialRampToValueAtTime,true,true
AudioParam,linearRampToValueAtTime,true,true
AudioParam,maxValue,true,true
AudioParam,minValue,true,true
AudioParam,setTargetAtTime,true,true
AudioParam,setValueAtTime,true,true
AudioParam,setValueCurveAtTime,true,true
AudioParam,value,true,true
AudioProcessingEvent,inputBuffer,true,true
AudioProcessingEvent,outputBuffer,true,true
AudioProcessingEvent,playbackTime,true,true
AudioScheduledSourceNode,onended,true,true
AudioScheduledSourceNode,start,true,true
AudioScheduledSourceNode,stop,true,true
BarProp,visible,true,true
BaseAudioContext,createAnalyser,true,true
BaseAudioContext,createBiquadFilter,true,true
BaseAudioContext,createBuffer,true,true
BaseAudioContext,createBufferSource,true,true
BaseAudioContext,createChannelMerger,true,true
BaseAudioContext,createChannelSplitter,true,true
BaseAudioContext,createConstantSource,true,true
BaseAudioContext,createConvolver,true,true
BaseAudioContext,createDelay,true,true
BaseAudioContext,createDynamicsCompressor,true,true
BaseAudioContext,createGain,true,true
BaseAudioContext,createIIRFilter,true,true
BaseAudioContext,createMediaElementSource,true,true
BaseAudioContext,createMediaStreamDestination,true,true
BaseAudioContext,createMediaStreamSource,true,true
BaseAudioContext,createOscillator,true,true
BaseAudioContext,createPanner,true,true
BaseAudioContext,createPeriodicWave,true,true
BaseAudioContext,createScriptProcessor,true,true
BaseAudioContext,createStereoPanner,true,true
BaseAudioContext,createWaveShaper,true,true
BaseAudioContext,currentTime,true,true
BaseAudioContext,decodeAudioData,true,true
BaseAudioContext,destination,true,true
BaseAudioContext,listener,true,true
BaseAudioContext,onstatechange,true,true
BaseAudioContext,resume,true,true
BaseAudioContext,sampleRate,true,true
BaseAudioContext,state,true,true
BatteryManager,charging,true,true
BatteryManager,chargingTime,true,true
BatteryManager,dischargingTime,true,true
BatteryManager,level,true,true
BatteryManager,onchargingchange,true,true
BatteryManager,onchargingtimechange,true,true
BatteryManager,ondischargingtimechange,true,true
BatteryManager,onlevelchange,true,true
BeforeInstallPromptEvent,platforms,true,true
BeforeInstallPromptEvent,prompt,true,true
BeforeInstallPromptEvent,userChoice,true,true
BiquadFilterNode,Q,true,true
BiquadFilterNode,detune,true,true
BiquadFilterNode,frequency,true,true
BiquadFilterNode,gain,true,true
BiquadFilterNode,getFrequencyResponse,true,true
BiquadFilterNode,type,true,true
Blob,size,true,true
Blob,slice,true,true
Blob,type,true,true
BlobEvent,data,true,true
BlobEvent,timecode,true,true
Bluetooth,requestDevice,true,true
BluetoothCharacteristicProperties,authenticatedSignedWrites,true,true
BluetoothCharacteristicProperties,broadcast,true,true
BluetoothCharacteristicProperties,indicate,true,true
BluetoothCharacteristicProperties,notify,true,true
BluetoothCharacteristicProperties,read,true,true
BluetoothCharacteristicProperties,reliableWrite,true,true
BluetoothCharacteristicProperties,writableAuxiliaries,true,true
BluetoothCharacteristicProperties,write,true,true
BluetoothCharacteristicProperties,writeWithoutResponse,true,true
BluetoothDevice,gatt,true,true
BluetoothDevice,id,true,true
BluetoothDevice,name,true,true
BluetoothDevice,ongattserverdisconnected,true,true
BluetoothRemoteGATTCharacteristic,getDescriptor,true,true
BluetoothRemoteGATTCharacteristic,getDescriptors,true,true
BluetoothRemoteGATTCharacteristic,oncharacteristicvaluechanged,true,true
BluetoothRemoteGATTCharacteristic,properties,true,true
BluetoothRemoteGATTCharacteristic,readValue,true,true
BluetoothRemoteGATTCharacteristic,service,true,true
BluetoothRemoteGATTCharacteristic,startNotifications,true,true
BluetoothRemoteGATTCharacteristic,stopNotifications,true,true
BluetoothRemoteGATTCharacteristic,uuid,true,true
BluetoothRemoteGATTCharacteristic,value,true,true
BluetoothRemoteGATTCharacteristic,writeValue,true,true
BluetoothRemoteGATTDescriptor,characteristic,true,true
BluetoothRemoteGATTDescriptor,readValue,true,true
BluetoothRemoteGATTDescriptor,uuid,true,true
BluetoothRemoteGATTDescriptor,value,true,true
BluetoothRemoteGATTDescriptor,writeValue,true,true
BluetoothRemoteGATTServer,connect,true,true
BluetoothRemoteGATTServer,connected,true,true
BluetoothRemoteGATTServer,device,true,true
BluetoothRemoteGATTServer,disconnect,true,true
BluetoothRemoteGATTServer,getPrimaryService,true,true
BluetoothRemoteGATTServer,getPrimaryServices,true,true
BluetoothRemoteGATTService,device,true,true
BluetoothRemoteGATTService,getCharacteristic,true,true
BluetoothRemoteGATTService,getCharacteristics,true,true
BluetoothRemoteGATTService,isPrimary,true,true
BluetoothRemoteGATTService,uuid,true,true
BluetoothUUID,canonicalUUID,true,true
BluetoothUUID,getCharacteristic,true,true
BluetoothUUID,getDescriptor,true,true
BluetoothUUID,getService,true,true
BroadcastChannel,close,true,true
BroadcastChannel,name,true,true
BroadcastChannel,onmessage,true,true
BroadcastChannel,onmessageerror,true,true
BroadcastChannel,postMessage,true,true
BudgetService,reserve,true,true
ByteLengthQueuingStrategy,size,true,true
CSS,escape,true,true
CSS,supports,true,true
CSSConditionRule,conditionText,true,true
CSSFontFaceRule,style,true,true
CSSGroupingRule,cssRules,true,true
CSSGroupingRule,deleteRule,true,true
CSSGroupingRule,insertRule,true,true
CSSImportRule,href,true,true
CSSImportRule,media,true,true
CSSImportRule,styleSheet,true,true
CSSKeyframeRule,keyText,true,true
CSSKeyframeRule,style,true,true
CSSKeyframesRule,appendRule,true,true
CSSKeyframesRule,cssRules,true,true
CSSKeyframesRule,deleteRule,true,true
CSSKeyframesRule,findRule,true,true
CSSKeyframesRule,name,true,true
CSSMediaRule,media,true,true
CSSNamespaceRule,namespaceURI,true,true
CSSNamespaceRule,prefix,true,true
CSSPageRule,selectorText,true,true
CSSPageRule,style,true,true
CSSRule,cssText,true,true
CSSRule,parentRule,true,true
CSSRule,parentStyleSheet,true,true
CSSRule,type,true,true
CSSRuleList,item,true,true
CSSRuleList,length,true,true
CSSStyleDeclaration,alignContent,true,true
CSSStyleDeclaration,alignItems,true,true
CSSStyleDeclaration,alignSelf,true,true
CSSStyleDeclaration,alignmentBaseline,true,true
CSSStyleDeclaration,all,true,true
CSSStyleDeclaration,animation,true,true
CSSStyleDeclaration,animationDelay,true,true
CSSStyleDeclaration,animationDirection,true,true
CSSStyleDeclaration,animationDuration,true,true
CSSStyleDeclaration,animationFillMode,true,true
CSSStyleDeclaration,animationIterationCount,true,true
CSSStyleDeclaration,animationName,true,true
CSSStyleDeclaration,animationPlayState,true,true
CSSStyleDeclaration,animationTimingFunction,true,true
CSSStyleDeclaration,backfaceVisibility,true,true
CSSStyleDeclaration,background,true,true
CSSStyleDeclaration,backgroundAttachment,true,true
CSSStyleDeclaration,backgroundBlendMode,true,true
CSSStyleDeclaration,backgroundClip,true,true
CSSStyleDeclaration,backgroundColor,true,true
CSSStyleDeclaration,backgroundImage,true,true
CSSStyleDeclaration,backgroundOrigin,true,true
CSSStyleDeclaration,backgroundPosition,true,true
CSSStyleDeclaration,backgroundPositionX,true,true
CSSStyleDeclaration,backgroundPositionY,true,true
CSSStyleDeclaration,backgroundRepeat,true,true
